"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","1764","工藤建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1766","東建コーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1768","ソネック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1770","藤田エンジニアリング","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","177A","コージンバイオ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1780","ヤマウラ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1783","ｆａｎｔａｓｉｓｔａ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1786","オリエンタル白石","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1787","ナカボーテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1788","三東工業社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1793","大本組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1795","マサル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1798","守谷商会","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1799","第一建設工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1801","大成建設","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1802","大林組","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1803","清水建設","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1807","佐藤渡辺","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1808","長谷工コーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1810","松井建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1811","錢高組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1812","鹿島建設","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1813","不動テトラ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1814","大末建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1815","鉄建建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1820","西松建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1822","大豊建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1826","佐田建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1827","ナカノフドー建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1828","田辺工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1833","奥村組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1835","東鉄工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1840","土屋ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1844","大盛工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1847","イチケン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1848","富士ピー・エス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","184A","学びエイド","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1850","南海辰村建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1852","淺沼組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1853","森組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1860","戸田建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1861","熊谷組","core","status=not_started, stars=2"
