"code","name","market","industry","stage","deepVerified","provisionalCandidate","templateLike","formalPlan","financialStatementSource","administrativeDocument","pageEvidence","genericMetricFields","specificMetricFields","progressConnected","withinThreeYears","phaseScore","document","planPublishedDate","sourceUrl","templatePatternIds"
"8392","大分銀行","Prime","銀行業","core","false","true","true","true","false","false","3","3","0","true","true","100","「中期経営計画2024」における財務目標の見直しに関するお知らせ","2025-11-10","https://www2.jpx.co.jp/disc/83920/140120251107591483.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8393","宮崎銀行","Prime","銀行業","core","false","true","true","true","false","false","4","4","0","true","true","107","新中期経営計画の策定について","2026-04-24","https://www2.jpx.co.jp/disc/83930/140120260424509916.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8395","佐賀銀行","Prime","銀行業","core","false","true","true","true","false","false","4","4","0","true","true","100","第18次中期経営計画の策定について","2025-03-27","https://www2.jpx.co.jp/disc/83950/140120250317595113.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8399","琉球銀行","Prime","銀行業","core","false","true","true","true","false","false","6","5","0","true","true","105","新中期経営計画「Empower 2025」の策定について","2025-05-13","https://www2.jpx.co.jp/disc/83990/140120250513545798.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8410","セブン銀行","Prime","銀行業","core","false","false","true","false","true","false","5","4","0","true","true","31","2026年3月期決算説明資料","2026-05-08","https://www2.jpx.co.jp/disc/84100/140120260508519091.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8411","みずほフィナンシャルグループ","Prime","銀行業","core","false","false","false","false","false","false","0","0","2","true","true","108","2025年度決算会社説明会・中期財務目標更新","2026-05-19","https://www.mizuho-fg.co.jp/investors/financial/briefing/pdf/20260519_1.pdf",""
"8416","高知銀行","Standard","銀行業","core","false","true","true","true","false","false","3","2","0","true","true","103","中期経営計画における計画数値(KGI)の見直しおよび本部組織変更に関するお知らせ","2026-05-11","https://www2.jpx.co.jp/disc/84160/140120260511522333.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8418","山口フィナンシャルグループ","Prime","銀行業","core","false","true","true","true","false","false","2","4","0","true","true","93","「YMFG中期経営計画(2025年度~2029年度)」の策定について","2025-05-09","https://www2.jpx.co.jp/disc/84180/140120250508534332.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8424","芙蓉総合リース","Prime","その他金融業","core","false","true","true","true","false","false","4","4","0","true","true","100","中期経営計画「Fuyo Shared Value 2026」の見直しに関するお知らせ","2025-03-28","https://www2.jpx.co.jp/disc/84240/140120250328502817.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"8425","みずほリース","Prime","その他金融業","core","false","true","true","true","false","false","2","4","0","true","true","99","「中期経営計画2028」策定のお知らせ","2026-05-14","https://www2.jpx.co.jp/disc/84250/140120260511522660.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
